index,type_l,ville,arr,n_pieces,n_chambres,surface_m2,prix,prix_m2
747,appartement,Paris,16,4.0,2.0,94.0,1190000.0,12659.0
748,appartement,Paris,18,2.0,1.0,24.9,290000.0,11646.0
749,appartement,Paris,20,2.0,0.0,38.0,495000.0,13026.0
750,appartement,Paris,16,3.0,2.0,75.44,920000.0,12195.0
751,appartement,Paris,19,4.0,2.0,81.0,716000.0,8839.0
752,appartement,Paris,20,2.0,1.0,54.18,470000.0,8674.0
753,appartement,Paris,11,6.0,5.0,200.69,2200000.0,10962.0
754,appartement,Paris,20,3.0,2.0,45.35,434600.0,9583.0
755,appartement,Paris,3,1.0,0.0,31.54,435000.0,13792.0
756,appartement,Paris,11,3.0,2.0,63.29,595000.0,9401.0
757,appartement,Paris,11,3.0,1.0,63.29,595000.0,9401.0
758,appartement,Paris,15,1.0,0.0,22.0,325000.0,14772.0
759,appartement,Paris,6,3.0,2.0,114.0,1568000.0,13754.0
760,appartement,Paris,20,3.0,0.0,55.3,740000.0,13381.0
761,appartement,Paris,18,2.0,1.0,33.4,430000.0,12874.0
762,appartement,Paris,18,3.0,2.0,81.46,750000.0,9206.0
763,appartement,Paris,6,3.0,2.0,87.33,1195000.0,13683.0
764,appartement,Paris,11,2.0,1.0,38.6,495000.0,12823.0
765,appartement,Paris,14,6.0,0.0,120.0,2050000.0,17083.0
766,appartement,Paris,11,2.0,1.0,59.94,630000.0,10510.0
767,appartement,Paris,16,1.0,0.0,34.0,325000.0,9558.0
768,appartement,Paris,19,2.0,0.0,40.0,639000.0,15975.0
769,appartement,Paris,12,6.0,5.0,181.94,2200000.0,12091.0
770,appartement,Paris,15,3.0,0.0,77.52,983000.0,12680.0
771,appartement,Paris,6,4.0,2.0,110.38,1955000.0,17711.0
772,appartement,Paris,16,8.0,5.0,245.0,3850000.0,15714.0
773,appartement,Paris,17,3.0,2.0,62.63,680000.0,10857.0
774,appartement,Paris,3,2.0,1.0,19.81,285000.0,14386.0
775,appartement,Paris,15,5.0,0.0,124.83,2155000.0,17263.0
776,appartement,Paris,4,4.0,0.0,95.0,1785000.0,18789.0
